URL	HHH LL CC
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-158.png	280 40 40-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-159.png	280 50 30-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-160.png	280 80 10-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-161.png	290 30 30-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-162.png	290 30 30-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-163.png	290 50 30-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-164.png	290 60 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-165.png	290 70 10-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-166.png	300 20 30-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-167.png	300 40 40-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-168.png	300 40 40-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-169.png	300 70 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-170.png	300 90 05-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-171.png	310 40 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-172.png	310 50 30-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-173.png	310 50 30-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-174.png	310 60 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-175.png	310 70 10-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-176.png	320 20 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-177.png	320 30 37-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-178.png	320 30 37-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-179.png	320 50 30-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-180.png	320 80 15-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-181.png	330 30 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-182.png	330 50 40-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-183.png	330 50 40-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-184.png	330 60 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-185.png	330 70 10-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-186.png	340 30 38-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-187.png	340 40 45-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-188.png	340 40 45-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-189.png	340 60 40-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-190.png	340 80 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-191.png	350 20 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-192.png	350 40 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-193.png	350 50 40-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-194.png	350 50 40-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-195.png	350 60 20-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-196.png	360 30 15-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-197.png	360 30 30-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-198.png	360 50 40-P
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-199.png	360 50 40-P-T
https://www.ral-farben.de/out/ralfarben/img/thumbs/plastics-p2-200.png	360 70 15-P
