HHHLLCC	Hue	Lightness	Chroma	DE	EN	https://www.ral-farben.de/out/ralfarben/img/thumbs/{file}.png	
H350L40C20	350°	40%	20%	Graukarmin	Grey carmine	designplus-1742	
H350L40C25	350°	40%	25%	Nektarrot	Nectar red	designplus-1743	
H350L40C30	350°	40%	30%	Dunkelrosé	Dark rose	designplus-1744	
H350L40C35	350°	40%	35%	Bonbonrot	Bonbon red	designplus-1745	
H350L40C40	350°	40%	40%	Zyclamenrot	Cyclamen red	designplus-1746	
H350L40C45	350°	40%	45%	Puderrot	Powder red	designplus-1747	
H350L40C50	350°	40%	50%	Krapprot	Madder red	designplus-1748	
H350L50C10	350°	50%	10%	Unschuldsrosa	Innocent pink	designplus-1749	
H350L50C15	350°	50%	15%	Stumpfviolett	Blunt violet	designplus-1750	
H350L50C20	350°	50%	20%	Korundrot	Corundum red	designplus-1751	
H350L50C25	350°	50%	25%	Batikpink	Batik pink	designplus-1752	
H350L50C30	350°	50%	30%	Beryllrot	Beryl red	designplus-1753	
H350L50C35	350°	50%	35%	Hochrot	Crimson	designplus-1754	
H350L50C40	350°	50%	40%	Krapprosa	Madder rose	designplus-1755	
H350L50C45	350°	50%	45%	Signalpink	Signal pink	designplus-1756	
H350L50C50	350°	50%	50%	Nagellackpink	Nail polish pink	designplus-1757	
H350L60C10	350°	60%	10%	Jugendstilviolett	Art Nouveau violet	designplus-1758	
H350L60C15	350°	60%	15%	Mohairrosa	Mohair pink	designplus-1759	
H350L60C20	350°	60%	20%	Heideblumenviolett	Heather violet	designplus-1760	
H350L60C25	350°	60%	25%	Heidekrautrosé	Heather rose	designplus-1761	
H350L60C30	350°	60%	30%	Venetianerrosa	Venetian pink	designplus-1762	
H350L60C35	350°	60%	35%	Dolomitrot	Dolomite red	designplus-1763	
H350L60C40	350°	60%	40%	Kamelienrosa	Camellia pink	designplus-1764	
H350L60C45	350°	60%	45%	Persischrosa	Persian pink	designplus-1765	
H350L70C10	350°	70%	10%	Kaltrosa	Cold pink	designplus-1766	
H350L70C15	350°	70%	15%	Schattenrosa	Shady pink	designplus-1767	
H350L70C20	350°	70%	20%	Grasnelkenrosa	Lady?s cushions pink	designplus-1768	
H350L70C25	350°	70%	25%	Korallenrosa	Coral pink	designplus-1769	
H350L70C30	350°	70%	30%	Technorosa	Techno pink	designplus-1770	
H350L70C35	350°	70%	35%	Kaugummipink	Chewing gum pink	designplus-1771	
H350L80C10	350°	80%	10%	Magnolienweiß	Magnolia white	designplus-1772	
H350L80C15	350°	80%	15%	Frühlingsrosa	Spring pink	designplus-1773	
H350L80C20	350°	80%	20%	Hellpink	Light pink	designplus-1774	
H350L85C05	350°	85%	5%	Elfenweiß	Fairy white	designplus-1775	
H350L85C10	350°	85%	10%	Orchideenrosé	Orchid rose	designplus-1776	
H350L85C15	350°	85%	15%	Blasspink	Pale pink	designplus-1777	
H350L90C05	350°	90%	5%	Lichtrosé	Light rose	designplus-1778	
H350L90C10	350°	90%	10%	Windröschenweiß	Ranuncula white	designplus-1779	
H350L93C05	350°	93%	5%	Clichyweiß	Clichy white	designplus-1780	
H360L20C15	360°	20%	15%	Piermontsteinrot	Piermont stone red	designplus-1781	
H360L30C05	360°	30%	5%	Rußrot	Russian red	designplus-1782	
H360L30C10	360°	30%	10%	Pfefferkornrot	Peppercorn red	designplus-1783	
H360L30C15	360°	30%	15%	Primitivoweinrot	Zinfandel red	designplus-1784	
H360L30C20	360°	30%	20%	Artdecorot	Art deco red	designplus-1785	
H360L30C25	360°	30%	25%	Klinkerrot	Clinker red	designplus-1786	
H360L30C30	360°	30%	30%	Kirschsaftrot	Cherry juice red	designplus-1787	
H360L30C35	360°	30%	35%	Schlossrot	Palace red	designplus-1788	
H360L30C40	360°	30%	40%	Glutrot	Ember red	designplus-1789	
H360L40C05	360°	40%	5%	Röstschwarz	Roasted black	designplus-1790	
H360L40C10	360°	40%	10%	Mokkabraun	Mocha brown	designplus-1791	
H360L40C15	360°	40%	15%	Rubingrau	Ruby grey	designplus-1792	
H360L40C20	360°	40%	20%	Barockrot	Baroque red	designplus-1793	
H360L40C25	360°	40%	25%	Rauschrot	Frenzied red	designplus-1794	
H360L40C30	360°	40%	30%	Johannisbeerrot	Redcurrant	designplus-1795	
H360L40C35	360°	40%	35%	Orientpink	Orient pink	designplus-1796	
H360L40C40	360°	40%	40%	Auroramagenta	Aurora magenta	designplus-1797	
H360L40C45	360°	40%	45%	Kardinalrot	Cardinal red	designplus-1798	
H360L40C50	360°	40%	50%	Salonrot	Parlour red	designplus-1799	
H360L50C05	360°	50%	5%	Bimssteingrau	Pumice grey	designplus-1800	
H360L50C10	360°	50%	10%	Tresterrot	Pomace red	designplus-1801	
H360L50C15	360°	50%	15%	Abendpurpur	Evening crimson	designplus-1802	
H360L50C20	360°	50%	20%	Kupferrosa	Copper pink	designplus-1803	
H360L50C25	360°	50%	25%	Jugendstilrosa	Jugendstil pink	designplus-1804	
H360L50C30	360°	50%	30%	Kosmetikrot	Cosmetic red	designplus-1805	
H360L50C35	360°	50%	35%	Indischpink	Indian pink	designplus-1806	
H360L50C40	360°	50%	40%	Kirroyalrosé	Kir royale rose	designplus-1807	
H360L50C45	360°	50%	45%	Hahnenkammrot	Cockscomb red	designplus-1808	
H360L50C50	360°	50%	50%	Persischrot	Persian red	designplus-1809	
H360L60C05	360°	60%	5%	Aschrosa	Ash pink	designplus-1810	
H360L60C10	360°	60%	10%	Majolikamauve	Majolica mauve	designplus-1811	
H360L60C15	360°	60%	15%	Feigenfruchtlila	Fig fruit mauve	designplus-1812	
H360L60C20	360°	60%	20%	Edelflieder	Noble lilac	designplus-1813	
H360L60C25	360°	60%	25%	Hellrot	Light red	designplus-1814	
H360L70C05	360°	70%	5%	Teeblütenrosa	Tea blossom pink	designplus-1815	
H360L70C10	360°	70%	10%	Quarzrosa	Quartz pink	designplus-1816	
H360L70C15	360°	70%	15%	Opalinrosa	Opaline pink	designplus-1817	
H360L80C05	360°	80%	5%	Perlmuttrosa	Mother-of-pearl pink	designplus-1818	
H360L80C10	360°	80%	10%	Venezianerrosa	Venetian pink	designplus-1819	
H360L80C15	360°	80%	15%	Seifenrosa	Soap pink	designplus-1820	
H360L85C05	360°	85%	5%	Theaterpuderrosé	Theatre powder rose	designplus-1821	
H360L85C10	360°	85%	10%	Lotusrosa	Lotus pink	designplus-1822	
H360L90C05	360°	90%	5%	Eisrosa	Ice pink	designplus-1823	
H360L90C10	360°	90%	10%	Tortencreme	Cake frosting	designplus-1824	
H360L93C05	360°	93%	5%	Pfeilkrautweiß	Arrowhead white	designplus-1825	
