RAL 6033	Minttürkis	Mint turquoise	Turquoise menthe	Turquesa menta	Turchese menta	Mintturquoise	classic-136	
RAL 6034	Pastelltürkis	Pastel turquoise	Turquoise pastel	Turquesa pastel	Turchese pastello	Pastelturquoise	classic-137	
RAL 6035	Perlgrün	Pearl green	Vert nacré	Verde perlado	Verde perlato	Parelmoer donkergroen	classic-138	
RAL 6036	Perlopalgrün	Pearl opal green	Vert opal nacré	Verde ópalo perlado	Verde opalo perlato	Parelmoer lichtgroen	classic-139	
RAL 6037	Reingrün	Pure green	Vert pur	Verde puro	Verde puro	Zuiver groen	classic-140	
RAL 6038	Leuchtgrün	Luminous green	Vert brillant	Verde brillante	Verde brillante	Briljantgroen	classic-141	
RAL 7000	Fehgrau	Squirrel grey	Gris petit-gris	Gris ardilla	Grigio vaio	Pelsgrijs	classic-142	
RAL 7001	Silbergrau	Silver grey	Gris argent	Gris plata	Grigio argento	Zilvergrijs	classic-143	
RAL 7002	Olivgrau	Olive grey	Gris olive	Gris oliva	Grigio olivastro	Olijfgrijs	classic-144	
RAL 7003	Moosgrau	Moss grey	Gris mousse	Gris musgo	Grigio muschio	Mosgrijs	classic-145	
RAL 7004	Signalgrau	Signal grey	Gris de sécurité	Gris señales	Grigio segnale	Signaalgrijs	classic-146	
RAL 7005	Mausgrau	Mouse grey	Gris souris	Gris ratón	Grigio topo	Muisgrijs	classic-147	
RAL 7006	Beigegrau	Beige grey	Gris beige	Gris beige	Grigio beige	Beigegrijs	classic-148	
RAL 7008	Khakigrau	Khaki grey	Gris kaki	Gris caqui	Grigio kaki	Kakigrijs	classic-149	
RAL 7009	Grüngrau	Green grey	Gris vert	Gris verdoso	Grigio verdastro	Groengrijs	classic-150	
RAL 7010	Zeltgrau	Tarpaulin grey	Gris tente	Gris lona	Grigio tenda	Zeildoekgrijs	classic-151	
RAL 7011	Eisengrau	Iron grey	Gris fer	Gris hierro	Grigio ferro	IJzergrijs	classic-152	
RAL 7012	Basaltgrau	Basalt grey	Gris basalte	Gris basalto	Grigio basalto	Bazaltgrijs	classic-153	
RAL 7013	Braungrau	Brown grey	Gris brun	Gris parduzco	Grigio brunastro	Bruingrijs	classic-154	
RAL 7015	Schiefergrau	Slate grey	Gris ardoise	Gris pizarra	Grigio ardesia	Leigrijs	classic-155	
RAL 7016	Anthrazitgrau	Anthracite grey	Gris anthracite	Gris antracita	Grigio antracite	Antracietgrijs	classic-156	
RAL 7021	Schwarzgrau	Black grey	Gris noir	Gris negruzco	Grigio nerastro	Zwartgrijs	classic-157	
RAL 7022	Umbragrau	Umbra grey	Gris terre d’ombre	Gris sombra	Grigio ombra	Ombergrijs	classic-158	
RAL 7023	Betongrau	Concrete grey	Gris béton	Gris hormigón	Grigio calcestruzzo	Betongrijs	classic-159	
RAL 7024	Graphitgrau	Graphite grey	Gris graphite	Gris grafita	Grigio grafite	Grafietgrijs	classic-160	
RAL 7026	Granitgrau	Granite grey	Gris granit	Gris granito	Grigio granito	Granietgrijs	classic-161	
RAL 7030	Steingrau	Stone grey	Gris pierre	Gris piedra	Grigio pietra	Steengrijs	classic-162	
RAL 7031	Blaugrau	Blue grey	Gris bleu	Gris azulado	Grigio bluastro	Blauwgrijs	classic-163	
RAL 7032	Kieselgrau	Pebble grey	Gris silex	Gris guijarro	Grigio ghiaia	Kiezelgrijs	classic-164	
RAL 7033	Zementgrau	Cement grey	Gris ciment	Gris cemento	Grigio cemento	Cementgrijs	classic-165	
RAL 7034	Gelbgrau	Yellow grey	Gris jaune	Gris amarillento	Grigio giallastro	Geelgrijs	classic-166	
RAL 7035	Lichtgrau	Light grey	Gris clair	Gris luminoso	Grigio luce	Lichtgrijs	classic-167	
RAL 7036	Platingrau	Platinum grey	Gris platine	Gris platino	Grigio platino	Platinagrijs	classic-168	
RAL 7037	Staubgrau	Dusty grey	Gris poussière	Gris polvo	Grigio polvere	Stofgrijs	classic-169	
RAL 7038	Achatgrau	Agate grey	Gris agate	Gris ágata	Grigio agata	Agaatgrijs	classic-170	
RAL 7039	Quarzgrau	Quartz grey	Gris quartz	Gris cuarzo	Grigio quarzo	Kwartsgrijs	classic-171	
RAL 7040	Fenstergrau	Window grey	Gris fenêtre	Gris ventana	Grigio finestra	Venstergrijs	classic-172	
RAL 7042	Verkehrsgrau A	Traffic grey A	Gris signalisation A	Gris tráfico A	Grigio traffico A	Verkeersgrijs A	classic-173	
RAL 7043	Verkehrsgrau B	Traffic grey B	Gris signalisation B	Gris tráfico B	Grigio traffico B	Verkeersgrijs B	classic-174	
RAL 7044	Seidengrau	Silk grey	Gris soie	Gris seda	Grigio seta	Zijdegrijs	classic-175	
RAL 7045	Telegrau 1	Telegrey 1	Telegris 1	Gris tele 1	Grigio tele 1	Telegrijs 1	classic-176	
RAL 7046	Telegrau 2	Telegrey 2	Telegris 2	Gris tele 2	Grigio tele 2	Telegrijs 2	classic-177	
RAL 7047	Telegrau 4	Telegrey 4	Telegris 4	Gris tele 4	Grigio tele 4	Telegrijs 4	classic-178	
RAL 7048	Perlmausgrau	Pearl mouse grey	Gris souris nacré	Gris musgo perlado	Grigio topo perlato	Parelmoer muisgrijs	classic-179	
RAL 8000	Grünbraun	Green brown	Brun vert	Pardo verdoso	Marrone verdastro	Groenbruin	classic-180	
RAL 8001	Ockerbraun	Ochre brown	Brun terre de Sienne	Pardo ocre	Marrone ocra	Okerbruin	classic-181	
RAL 8002	Signalbraun	Signal brown	Brun de sécurité	Marrón señales	Marrone segnale	Signaalbruin	classic-182	
RAL 8003	Lehmbraun	Clay brown	Brun argile	Pardo arcilla	Marrone fango	Leembruin	classic-183	
RAL 8004	Kupferbraun	Copper brown	Brun cuivré	Pardo cobre	Marrone rame	Koperbruin	classic-184	
RAL 8007	Rehbraun	Fawn brown	Brun fauve	Pardo corzo	Marrone capriolo	Reebruin	classic-185	
RAL 8008	Olivbraun	Olive brown	Brun olive	Pardo oliva	Marrone oliva	Olijfbruin	classic-186	
RAL 8011	Nussbraun	Nut brown	Brun noisette	Pardo nuez	Marrone noce	Notenbruin	classic-187	
RAL 8012	Rotbraun	Red brown	Brun rouge	Pardo rojo	Marrone rossiccio	Roodbruin	classic-188	
RAL 8014	Sepiabraun	Sepia brown	Brun sépia	Sepia	Marrone seppia	Sepiabruin	classic-189	
RAL 8015	Kastanienbraun	Chestnut brown	Marron	Castaño	Marrone castagna	Kastanjebruin	classic-190	
RAL 8016	Mahagonibraun	Mahogany brown	Brun acajou	Caoba	Marrone mogano	Mahoniebruin	classic-191	
RAL 8017	Schokoladenbraun	Chocolate brown	Brun chocolat	Chocolate	Marrone cioccolata	Chocoladebruin	classic-192	
RAL 8019	Graubraun	Grey brown	Brun gris	Pardo grisáceo	Marrone grigiastro	Grijsbruin	classic-193	
RAL 8022	Schwarzbraun	Black brown	Brun noir	Pardo negruzco	Marrone nerastro	Zwartbruin	classic-194	
RAL 8023	Orangebraun	Orange brown	Brun orangé	Pardo anaranjado	Marrone arancio	Oranjebruin	classic-195	
RAL 8024	Beigebraun	Beige brown	Brun beige	Pardo beige	Marrone beige	Beigebruin	classic-196	
RAL 8025	Blassbraun	Pale brown	Brun pâle	Pardo pálido	Marrone pallido	Bleekbruin	classic-197	
RAL 8028	Terrabraun	Terra brown	Brun terre	Marrón tierra	Marrone terra	Terrabruin	classic-198	
RAL 8029	Perlkupfer	Pearl copper	Cuivre nacré	Cobre perlado	Rame perlato	Parelmoer koper	classic-199	
RAL 9001	Cremeweiß	Cream	Blanc crème	Blanco crema	Bianco crema	Crèmewit	classic-200	
RAL 9002	Grauweiß	Grey white	Blanc gris	Blanco grisáceo	Bianco grigiastro	Grijswit	classic-201	
RAL 9003	Signalweiß	Signal white	Blanc de sécurité	Blanco señales	Bianco segnale	Signaalwit	classic-202	
RAL 9004	Signalschwarz	Signal black	Noir de sécurité	Negro señales	Nero segnale	Signaalzwart	classic-203	
RAL 9005	Tiefschwarz	Jet black	Noir foncé	Negro intenso	Nero intenso	Gitzwart	classic-204	
RAL 9006	Weißaluminium	White aluminium	Aluminium blanc	Aluminio blanco	Alluminio brillante	Blank aluminiumkleurig	classic-205	
RAL 9007	Graualuminium	Grey aluminium	Aluminium gris	Aluminio gris	Alluminio grigiastro	Grijs aluminiumkleurig	classic-206	
RAL 9010	Reinweiß	Pure white	Blanc pur	Blanco puro	Bianco puro	Zuiver wit	classic-207	
RAL 9011	Graphitschwarz	Graphite black	Noir graphite	Negro grafito	Nero grafite	Grafietzwart	classic-208	
RAL 9016	Verkehrsweiß	Traffic white	Blanc signalisation	Blanco tráfico	Bianco traffico	Verkeerswit	classic-209	
RAL 9017	Verkehrsschwarz	Traffic black	Noir signalisation	Negro tráfico	Nero traffico	Verkeerszwart	classic-210	
RAL 9018	Papyrusweiß	Papyrus white	Blanc papyrus	Blanco papiro	Bianco papiro	Papyruswit	classic-211	
RAL 9022	Perlhellgrau	Pearl light grey	Gris clair nacré	Gris claro perlado	Grigio chiaro perlato	Parelmoer lichtgrijs	classic-212	
RAL 9023	Perldunkelgrau	Pearl dark grey	Gris fonçé nacré	Gris oscuro perlado	Grigio scuro perlato	Parelmoer donkergrijs	classic-213	
