URL	ID	DE	EN	FR	ES	IT	NL
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-65.png	RAL 3028	Reinrot	Pure red	Rouge pu	Rojo puro 	Rosso puro	Zuiver rood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-66.png	RAL 3031	Orientrot	Orient red	Rouge oriental	Rojo oriente	Rosso oriente	Oriëntrood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-67.png	RAL 3032	Perlrubinrot	Pearl ruby red	Rouge rubis nacré	Rojo rubí perlado	Rosso rubino perlato	Parelmoer donkerrood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-68.png	RAL 3033	Perlrosa	Pearl pink	Rose nacré	Rosa perlado	Rosa perlato	Parelmoer lichtrood
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-69.png	RAL 4001	Rotlila	Red lilac	Lilas rouge	Rojo lila	Lilla rossastro	Roodlila
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-70.png	RAL 4002	Rotviolett	Red violet	Violet rouge	Rojo violeta	Viola rossastro	Roodpaars
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-71.png	RAL 4003	Erikaviolett	Heather violet	Violet bruyère	Violeta érica	Viola erica	Heidepaars
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-72.png	RAL 4004	Bordeauxviolett	Claret violet	Violet bordeaux	Burdeos	Viola bordeaux	Bordeuaxpaars
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-73.png	RAL 4005	Blaulila	Blue lilac	Lilas bleu	Lila azulado	Lilla bluastro	Blauwlila
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-74.png	RAL 4006	Verkehrspurpur	Traffic purple	Pourpre signalisation	Púrpurá tráfico	Porpora traffico	Verkeerspurper
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-75.png	RAL 4007	Purpurviolett	Purple violet	Violet pourpre	Violeta púrpura	Porpora violetto	Purperviolet
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-76.png	RAL 4008	Signalviolett	Signal violet	Violet de sécurité	Violeta señales	Violetto segnale	Signaalviolet
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-77.png	RAL 4009	Pastellviolett	Pastel violet	Violet pastel	Violeta pastel	Violetto pastello	Pastelviolet
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-78.png	RAL 4010	Telemagenta	Telemagenta	Telemagenta	Magenta tele	Tele Magenta	Telemagenta
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-79.png	RAL 4011	Perlviolett	Pearl violet	Violet nacré	Violeta perlado	Violetto perlato	Parelmoer donkerviolet
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-80.png	RAL 4012	Perlbrombeer	Pearl blackberry	Mûre nacré	Morado perlado	Mora perlato	Parelmoer lichtviolet
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-81.png	RAL 5000	Violettblau	Violet blue	Bleu violet	Azul violeta	Blu violaceo	Paarsblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-82.png	RAL 5001	Grünblau	Green blue	Bleu vert	Azul verdoso	Blu verdastro	Groenblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-83.png	RAL 5002	Ultramarinblau	Ultramarine blue	Bleu outremer	Azul ultramar	Blu oltremare	Ultramarijn blauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-84.png	RAL 5003	Saphirblau	Sapphire blue	Bleu saphir	Azul zafiro	Blu zaffiro	Saffierblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-85.png	RAL 5004	Schwarzblau	Black blue	Bleu noir	Azul negruzco	Blu nerastro	Zwartblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-86.png	RAL 5005	Signalblau	Signal blue	Bleu de sécurité	Azul señales	Blu segnale	Signaalblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-87.png	RAL 5007	Brillantblau	Brilliant blue	Bleu brillant	Azul brillante	Blu brillante	Briljantblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-88.png	RAL 5008	Graublau	Grey blue	Bleu gris	Azul grisáceo	Blu grigiastro	Grijsblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-89.png	RAL 5009	Azurblau	Azure blue	Bleu azur	Azul azur	Blu azzurro	Azuurblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-90.png	RAL 5010	Enzianblau	Gentian blue	Bleu gentiane	Azul genciana	Blu genziana	Gentiaanblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-91.png	RAL 5011	Stahlblau	Steel blue	Bleu acier	Azul acero	Blu acciaio	Staalblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-92.png	RAL 5012	Lichtblau	Light blue	Bleu clair	Azul luminoso	Blu luce	Lichtblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-93.png	RAL 5013	Kobaltblau	Cobalt blue	Bleu cobalt	Azul cobalto	Blu cobalto	Kobaltblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-94.png	RAL 5014	Taubenblau	Pigeon blue	Bleu pigeon	Azul colombino	Blu colomba	Duifblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-95.png	RAL 5015	Himmelblau	Sky blue	Bleu ciel	Azul celeste	Blu cielo	Hemelsblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-96.png	RAL 5017	Verkehrsblau	Traffic blue	Bleu signalisation	Azul tráfico	Blu traffico	Verkeersblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-97.png	RAL 5018	Türkisblau	Turquoise blue	Bleu turquoise	Azul turquesa	Blu turchese	Turkooisblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-98.png	RAL 5019	Capriblau	Capri blue	Bleu capri	Azul capri	Blu Capri	Capriblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-99.png	RAL 5020	Ozeanblau	Ocean blue	Bleu océan	Azul oceano	Blu oceano	Oceaanblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-100.png	RAL 5021	Wasserblau	Water blue	Bleu d’eau	Azul agua	Blu acqua	Waterblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-101.png	RAL 5022	Nachtblau	Night blue	Bleu nocturne	Azul noche	Blu notte	Nachtblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-102.png	RAL 5023	Fernblau	Distant blue	Bleu distant	Azul lejanía	Blu distante	Verblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-103.png	RAL 5024	Pastellblau	Pastel blue	Bleu pastel	Azul pastel	Blu pastello	Pastelblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-104.png	RAL 5025	Perlenzian	Pearl gentian blue	Gentiane nacré	Gencian perlado	Blu genziana perlato	Parelmoer blauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-105.png	RAL 5026	Perlnachtblau	Pearl night blue	Bleu nuit nacré	Azul noche perlado	Blu notte perlato	Parelmoer nachtblauw
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-106.png	RAL 6000	Patinagrün	Patina green	Vert patine	Verde patina	Verde patina	Patinagroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-107.png	RAL 6001	Smaragdgrün	Emerald green	Vert émeraude	Verde esmeralda	Verde smeraldo	Smaragdgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-108.png	RAL 6002	Laubgrün	Leaf green	Vert feuillage	Verde hoja	Verde foglia	Loofgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-109.png	RAL 6003	Olivgrün	Olive green	Vert olive	Verde oliva	Verde oliva	Olijfgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-110.png	RAL 6004	Blaugrün	Blue green	Vert bleu	Verde azulado	Verde bluastro	Blauwgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-111.png	RAL 6005	Moosgrün	Moss green	Vert mousse	Verde musgo	Verde muschio	Mosgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-112.png	RAL 6006	Grauoliv	Grey olive	Olive gris	Oliva grisáceo	Oliva grigiastro	Grijs olijfgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-113.png	RAL 6007	Flaschengrün	Bottle green	Vert bouteille	Verde botella	Verde bottiglia	Flessengroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-114.png	RAL 6008	Braungrün	Brown green	Vert brun	Verde parduzco	Verde brunastro	Bruingroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-115.png	RAL 6009	Tannengrün	Fir green	Vert sapin	Verde abeto	Verde abete	Dennengroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-116.png	RAL 6010	Grasgrün	Grass green	Vert herbe	Verde hierba	Verde erba	Grasgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-117.png	RAL 6011	Resedagrün	Reseda green	Vert réséda	Verde reseda	Verde reseda	Resedagroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-118.png	RAL 6012	Schwarzgrün	Black green	Vert noir	Verde negruzco	Verde nerastro	Zwartgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-119.png	RAL 6013	Schilfgrün	Reed green	Vert jonc	Verde caña	Verde canna	Rietgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-120.png	RAL 6014	Gelboliv	Yellow olive	Olive jaune	Amarillo oliva	Oliva giallastro	Geel olijfgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-121.png	RAL 6015	Schwarzoliv	Black olive	Olive noir	Oliva negruzco	Oliva nerastro	Zwart olijfgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-122.png	RAL 6016	Türkisgrün	Turquoise green	Vert turquoise	Verde turquesa	Verde turchese	Turkooisgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-123.png	RAL 6017	Maigrün	May green	Vert mai	Verde mayo	Verde maggio	Meigroen
